Open Time;Order;Symbol;Type;Volume;;Price;S / L;T / P;Time;;State;Comment;
2025.11.11 03:03:24;538;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.11 03:03:24;;filled;tp 4134.61;
2025.11.11 03:31:51;539;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.11 03:31:51;;filled;tp 4139.54;
2025.11.11 03:54:00;540;GOLD;buy;0.01 / 0.01;;0.00;4 095.97;4 180.97;2025.11.11 03:54:00;;filled;Grip;
2025.11.11 04:50:00;541;GOLD;buy;0.01 / 0.01;;0.00;4 096.90;4 181.90;2025.11.11 04:50:00;;filled;Grip;
2025.11.11 05:32:24;542;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.11 05:32:24;;filled;tp 4147.12;
2025.11.11 05:45:01;543;GOLD;buy;0.01 / 0.01;;0.00;4 105.05;4 190.05;2025.11.11 05:45:01;;filled;Grip;
2025.11.11 16:49:49;544;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.11 16:49:49;;filled;;
2025.11.11 16:49:49;545;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.11 16:49:49;;filled;;
2025.11.11 16:49:49;546;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.11 16:49:49;;filled;;
2025.11.11 16:49:50;547;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.11 16:49:50;;filled;;
2025.11.13 02:14:06;548;GOLD;buy;0.01 / 0.01;;0.00;4 150.41;4 235.41;2025.11.13 02:14:06;;filled;Grip;
2025.11.13 05:37:00;549;GOLD;buy;0.01 / 0.01;;0.00;4 161.86;4 246.86;2025.11.13 05:37:00;;filled;Grip;
2025.11.13 06:23:00;550;GOLD;buy;0.01 / 0.01;;0.00;4 171.16;4 256.16;2025.11.13 06:23:00;;filled;Grip;
2025.11.13 07:40:06;551;GOLD;buy;0.01 / 0.01;;0.00;4 176.26;4 261.26;2025.11.13 07:40:06;;filled;Grip;
2025.11.13 10:20:15;552;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.13 10:20:15;;filled;tp 4235.41;
2025.11.13 10:48:00;553;GOLD;buy;0.01 / 0.01;;0.00;4 194.46;4 279.46;2025.11.13 10:48:00;;filled;Grip;
2025.11.13 16:31:23;554;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.13 16:31:23;;filled;;
2025.11.13 16:31:23;555;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.13 16:31:23;;filled;;
2025.11.13 16:31:23;556;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.13 16:31:23;;filled;;
2025.11.13 16:31:23;557;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.13 16:31:23;;filled;;
2025.11.25 04:12:01;558;GOLD;buy;0.01 / 0.01;;0.00;4 096.53;4 181.53;2025.11.25 04:12:01;;filled;Grip;
2025.11.25 05:05:00;559;GOLD;buy;0.01 / 0.01;;0.00;4 108.80;4 193.80;2025.11.25 05:05:00;;filled;Grip;
2025.11.25 09:43:00;560;GOLD;buy;0.01 / 0.01;;0.00;4 097.85;4 182.85;2025.11.25 09:43:00;;filled;Grip;
2025.11.25 12:40:17;561;GOLD;buy;0.01 / 0.01;;0.00;4 091.56;4 176.56;2025.11.25 12:40:17;;filled;Grip;
2025.11.25 16:46:05;562;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.25 16:46:05;;filled;;
2025.11.25 16:46:05;563;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.25 16:46:05;;filled;;
2025.11.25 16:46:05;564;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.25 16:46:05;;filled;;
2025.11.25 16:46:05;565;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.25 16:46:05;;filled;;
2025.11.25 20:46:53;566;GOLD;buy;0.01 / 0.01;;0.00;4 101.45;4 186.45;2025.11.25 20:46:53;;filled;Grip;
2025.11.25 21:11:23;567;GOLD;buy;0.01 / 0.01;;0.00;4 100.16;4 185.16;2025.11.25 21:11:23;;filled;Grip;
2025.11.26 04:01:00;568;GOLD;buy;0.01 / 0.01;;0.00;4 108.19;4 193.19;2025.11.26 04:01:00;;filled;Grip;
2025.11.26 06:33:49;569;GOLD;buy;0.01 / 0.01;;0.00;4 120.28;4 205.28;2025.11.26 06:33:49;;filled;Grip;
2025.11.28 03:00:30;570;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.28 03:00:30;;filled;tp 4185.16;
2025.11.28 03:01:01;571;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.28 03:01:01;;filled;tp 4186.45;
2025.11.28 03:28:00;572;GOLD;buy;0.01 / 0.01;;0.00;4 148.25;4 233.25;2025.11.28 03:28:00;;filled;Grip;
2025.11.28 06:36:00;573;GOLD;buy;0.01 / 0.01;;0.00;4 144.56;4 229.56;2025.11.28 06:36:00;;filled;Grip;
2025.11.28 10:21:57;574;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.28 10:21:57;;filled;;
2025.11.28 10:21:57;575;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.28 10:21:57;;filled;;
2025.11.28 10:21:57;576;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.28 10:21:57;;filled;;
2025.11.28 10:21:57;577;GOLD;sell;0.01 / 0.01;;0.00;;;2025.11.28 10:21:57;;filled;;
2025.12.01 01:52:00;578;GOLD;buy;0.01 / 0.01;;0.00;4 184.02;4 269.02;2025.12.01 01:52:00;;filled;Grip;
2025.12.01 03:26:00;579;GOLD;buy;0.01 / 0.01;;0.00;4 190.26;4 275.26;2025.12.01 03:26:00;;filled;Grip;
2025.12.01 04:21:00;580;GOLD;buy;0.01 / 0.01;;0.00;4 206.53;4 291.53;2025.12.01 04:21:00;;filled;Grip;
2025.12.01 09:13:00;581;GOLD;buy;0.01 / 0.01;;0.00;4 197.85;4 282.85;2025.12.01 09:13:00;;filled;Grip;
2025.12.01 16:37:49;582;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.01 16:37:49;;filled;;
2025.12.01 16:37:49;583;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.01 16:37:49;;filled;;
2025.12.01 16:37:50;584;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.01 16:37:50;;filled;;
2025.12.01 16:37:50;585;GOLD;sell;0.01 / 0.01;;0.00;;;2025.12.01 16:37:50;;filled;;
2025.12.05 14:36:00;586;GOLD;buy;0.01 / 0.01;;0.00;4 184.52;4 269.52;2025.12.05 14:36:00;;filled;Grip;
2025.12.05 16:21:00;587;GOLD;buy;0.01 / 0.01;;0.00;4 194.47;4 279.47;2025.12.05 16:21:00;;filled;Grip;
